[Point Spectroscopy Data]
Approach Rate=0.0493 µm/sec
Retreat Rate=0.0493 µm/sec
Z Start=-5.3484 µm
Z End=5.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
&Z Piezo Linerizer On=yes
Trigger on:Deflection Signal   >==2.000000 V

[Series layout]
Points Number=1024
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -5.500000	  0.846286	  5.500000	  0.429597
 -5.489247	  0.860885	  5.489247	  0.427164
 -5.478495	  0.865143	  5.478495	  0.425035
 -5.467741	  0.855410	  5.467741	  0.433247
 -5.456989	  0.856323	  5.456989	  0.433247
 -5.446236	  0.856627	  5.446237	  0.433551
 -5.435483	  0.854498	  5.435483	  0.432943
 -5.424731	  0.851152	  5.424731	  0.432335
 -5.413978	  0.847807	  5.413978	  0.432335
 -5.403226	  0.844765	  5.403226	  0.432639
 -5.392473	  0.842332	  5.392473	  0.435985
 -5.381720	  0.846590	  5.381720	  0.433247
 -5.370967	  0.839594	  5.370967	  0.440547
 -5.360215	  0.834424	  5.360215	  0.434464
 -5.349462	  0.834424	  5.349463	  0.438114
 -5.338709	  0.832903	  5.338710	  0.442372
 -5.327956	  0.830774	  5.327957	  0.441155
 -5.317204	  0.827733	  5.317204	  0.440547
 -5.306451	  0.822866	  5.306451	  0.441155
 -5.295699	  0.823170	  5.295699	  0.439634
 -5.284946	  0.820129	  5.284946	  0.442980
 -5.274193	  0.820737	  5.274193	  0.443284
 -5.263441	  0.814654	  5.263441	  0.448151
 -5.252688	  0.816479	  5.252688	  0.446934
 -5.241935	  0.811308	  5.241936	  0.445413
 -5.231182	  0.812829	  5.231183	  0.453321
 -5.220429	  0.812221	  5.220430	  0.453017
 -5.209677	  0.810396	  5.209677	  0.451496
 -5.198925	  0.809179	  5.198925	  0.447542
 -5.188172	  0.808571	  5.188172	  0.452713
 -5.177419	  0.803096	  5.177419	  0.453930
 -5.166666	  0.799446	  5.166667	  0.448151
 -5.155914	  0.804617	  5.155914	  0.457275
 -5.145161	  0.798838	  5.145161	  0.455146
 -5.134408	  0.797926	  5.134408	  0.457275
 -5.123655	  0.792147	  5.123656	  0.458188
 -5.112903	  0.798230	  5.112903	  0.455755
 -5.102150	  0.789105	  5.102150	  0.465183
 -5.091397	  0.791538	  5.091397	  0.453930
 -5.080645	  0.788801	  5.080645	  0.460925
 -5.069892	  0.788801	  5.069892	  0.458188
 -5.059139	  0.787280	  5.059140	  0.458796
 -5.048387	  0.786064	  5.048387	  0.464271
 -5.037634	  0.781806	  5.037634	  0.460925
 -5.026881	  0.784847	  5.026882	  0.457884
 -5.016129	  0.778460	  5.016129	  0.461838
 -5.005376	  0.771769	  5.005376	  0.465792
 -4.994623	  0.779981	  4.994624	  0.468529
 -4.983871	  0.770552	  4.983871	  0.468833
 -4.973118	  0.765381	  4.973118	  0.466096
 -4.962365	  0.771464	  4.962366	  0.470962
 -4.951612	  0.766598	  4.951612	  0.470962
 -4.940860	  0.765077	  4.940860	  0.471266
 -4.930107	  0.762340	  4.930107	  0.468833
 -4.919354	  0.760211	  4.919355	  0.473091
 -4.908602	  0.761427	  4.908602	  0.474612
 -4.897849	  0.754736	  4.897849	  0.476741
 -4.887096	  0.759907	  4.887096	  0.472179
 -4.876344	  0.751695	  4.876344	  0.474916
 -4.865591	  0.751390	  4.865592	  0.477045
 -4.854838	  0.752911	  4.854839	  0.477045
 -4.844086	  0.753215	  4.844086	  0.473699
 -4.833333	  0.746828	  4.833333	  0.476741
 -4.822580	  0.741962	  4.822580	  0.478870
 -4.811827	  0.742570	  4.811827	  0.477045
 -4.801075	  0.743178	  4.801075	  0.481912
 -4.790322	  0.737704	  4.790323	  0.482520
 -4.779570	  0.733445	  4.779570	  0.481607
 -4.768817	  0.734662	  4.768817	  0.485257
 -4.758064	  0.733445	  4.758065	  0.485866
 -4.747311	  0.729796	  4.747312	  0.484041
 -4.736559	  0.729796	  4.736559	  0.485257
 -4.725806	  0.729491	  4.725806	  0.488907
 -4.715054	  0.727058	  4.715054	  0.484041
 -4.704301	  0.721583	  4.704301	  0.486170
 -4.693548	  0.722496	  4.693549	  0.486474
 -4.682795	  0.720975	  4.682796	  0.488299
 -4.672042	  0.715196	  4.672043	  0.488603
 -4.661290	  0.714892	  4.661290	  0.479783
 -4.650537	  0.712155	  4.650537	  0.484953
 -4.639784	  0.716413	  4.639785	  0.484345
 -4.629032	  0.707288	  4.629032	  0.482216
 -4.618279	  0.703030	  4.618279	  0.487082
 -4.607526	  0.705159	  4.607527	  0.484953
 -4.596774	  0.705463	  4.596774	  0.480695
 -4.586021	  0.696643	  4.586021	  0.484953
 -4.575268	  0.696035	  4.575269	  0.481303
 -4.564516	  0.695426	  4.564516	  0.477045
 -4.553763	  0.692081	  4.553763	  0.477653
 -4.543010	  0.688735	  4.543011	  0.479478
 -4.532258	  0.688735	  4.532258	  0.479478
 -4.521505	  0.687214	  4.521505	  0.481303
 -4.510752	  0.682652	  4.510752	  0.484345
 -4.500000	  0.679306	  4.500000	  0.478870
 -4.489247	  0.678090	  4.489247	  0.483737
 -4.478495	  0.681435	  4.478495	  0.476133
 -4.467741	  0.679306	  4.467741	  0.478262
 -4.456989	  0.675352	  4.456989	  0.474612
 -4.446236	  0.671398	  4.446236	  0.481607
 -4.435483	  0.669878	  4.435484	  0.478870
 -4.424731	  0.670486	  4.424731	  0.474308
 -4.413978	  0.663186	  4.413979	  0.474916
 -4.403225	  0.658624	  4.403225	  0.474612
 -4.392473	  0.663186	  4.392473	  0.468529
 -4.381720	  0.657103	  4.381721	  0.474612
 -4.370967	  0.655887	  4.370967	  0.469441
 -4.360215	  0.658016	  4.360215	  0.475220
 -4.349462	  0.651628	  4.349462	  0.474004
 -4.338709	  0.648891	  4.338709	  0.470962
 -4.327957	  0.644937	  4.327957	  0.475829
 -4.317204	  0.640983	  4.317204	  0.470962
 -4.306451	  0.644329	  4.306451	  0.471875
 -4.295699	  0.638550	  4.295699	  0.470354
 -4.284946	  0.640375	  4.284946	  0.471570
 -4.274193	  0.637333	  4.274194	  0.469746
 -4.263440	  0.636117	  4.263441	  0.469746
 -4.252688	  0.622430	  4.252688	  0.472179
 -4.241935	  0.627905	  4.241935	  0.475829
 -4.231183	  0.629730	  4.231183	  0.474916
 -4.220430	  0.622430	  4.220430	  0.472179
 -4.209677	  0.623038	  4.209677	  0.469137
 -4.198925	  0.620909	  4.198925	  0.473699
 -4.188171	  0.618780	  4.188172	  0.470962
 -4.177419	  0.609351	  4.177419	  0.467921
 -4.166667	  0.609960	  4.166667	  0.472179
 -4.155913	  0.607222	  4.155914	  0.472179
 -4.145161	  0.604485	  4.145161	  0.476437
 -4.134408	  0.607831	  4.134409	  0.476133
 -4.123655	  0.604789	  4.123656	  0.475829
 -4.112903	  0.595969	  4.112903	  0.482824
 -4.102150	  0.601139	  4.102150	  0.474916
 -4.091398	  0.598402	  4.091398	  0.478262
 -4.080645	  0.600835	  4.080645	  0.473395
 -4.069892	  0.591406	  4.069892	  0.480695
 -4.059140	  0.593231	  4.059140	  0.477653
 -4.048387	  0.595665	  4.048387	  0.480695
 -4.037634	  0.591406	  4.037634	  0.481607
 -4.026881	  0.584411	  4.026881	  0.483128
 -4.016129	  0.586540	  4.016129	  0.482824
 -4.005376	  0.586236	  4.005376	  0.480391
 -3.994623	  0.582586	  3.994624	  0.482824
 -3.983871	  0.582890	  3.983871	  0.481607
 -3.973118	  0.582282	  3.973118	  0.481303
 -3.962365	  0.579849	  3.962366	  0.487386
 -3.951613	  0.579544	  3.951613	  0.490732
 -3.940860	  0.575286	  3.940860	  0.485257
 -3.930107	  0.571028	  3.930108	  0.489820
 -3.919355	  0.575590	  3.919355	  0.486778
 -3.908602	  0.570724	  3.908602	  0.490732
 -3.897849	  0.572853	  3.897850	  0.493774
 -3.887096	  0.576807	  3.887096	  0.491036
 -3.876344	  0.566770	  3.876344	  0.493774
 -3.865591	  0.570420	  3.865591	  0.495903
 -3.854839	  0.566466	  3.854839	  0.497119
 -3.844085	  0.568291	  3.844086	  0.497728
 -3.833333	  0.564641	  3.833333	  0.495294
 -3.822580	  0.569507	  3.822581	  0.503202
 -3.811828	  0.568291	  3.811828	  0.509894
 -3.801075	  0.571332	  3.801075	  0.502594
 -3.790322	  0.563120	  3.790323	  0.505940
 -3.779570	  0.567378	  3.779570	  0.500769
 -3.768817	  0.563424	  3.768817	  0.503811
 -3.758064	  0.557037	  3.758065	  0.508069
 -3.747311	  0.558558	  3.747311	  0.503202
 -3.736559	  0.563424	  3.736559	  0.514456
 -3.725806	  0.561295	  3.725806	  0.509589
 -3.715054	  0.557341	  3.715054	  0.514152
 -3.704300	  0.560991	  3.704301	  0.512327
 -3.693548	  0.567074	  3.693548	  0.515368
 -3.682795	  0.560687	  3.682796	  0.518410
 -3.672043	  0.558558	  3.672043	  0.515368
 -3.661290	  0.563424	  3.661290	  0.520235
 -3.650537	  0.561904	  3.650538	  0.518106
 -3.639785	  0.563424	  3.639785	  0.522668
 -3.629032	  0.557950	  3.629032	  0.524493
 -3.618279	  0.566466	  3.618279	  0.531184
 -3.607527	  0.565249	  3.607527	  0.532097
 -3.596774	  0.564641	  3.596774	  0.532097
 -3.586021	  0.562816	  3.586021	  0.529359
 -3.575269	  0.561599	  3.575269	  0.533009
 -3.564516	  0.557950	  3.564516	  0.541221
 -3.553763	  0.565553	  3.553763	  0.537876
 -3.543010	  0.562816	  3.543011	  0.536355
 -3.532257	  0.564945	  3.532258	  0.540917
 -3.521505	  0.565553	  3.521505	  0.544871
 -3.510752	  0.564337	  3.510753	  0.543046
 -3.500000	  0.565858	  3.500000	  0.550346
 -3.489247	  0.568595	  3.489247	  0.552475
 -3.478494	  0.566466	  3.478495	  0.553083
 -3.467741	  0.568291	  3.467742	  0.551258
 -3.456989	  0.567987	  3.456989	  0.553083
 -3.446236	  0.564641	  3.446236	  0.555516
 -3.435483	  0.571941	  3.435484	  0.564033
 -3.424731	  0.566466	  3.424731	  0.563424
 -3.413978	  0.567683	  3.413979	  0.566162
 -3.403225	  0.565858	  3.403226	  0.565249
 -3.392473	  0.569203	  3.392473	  0.562816
 -3.381720	  0.573766	  3.381720	  0.567683
 -3.370967	  0.567683	  3.370968	  0.568291
 -3.360214	  0.573461	  3.360215	  0.574374
 -3.349462	  0.570724	  3.349462	  0.572245
 -3.338709	  0.574374	  3.338710	  0.569507
 -3.327957	  0.574982	  3.327957	  0.579849
 -3.317204	  0.576807	  3.317204	  0.579240
 -3.306451	  0.575286	  3.306451	  0.584715
 -3.295698	  0.574678	  3.295699	  0.585019
 -3.284946	  0.575590	  3.284946	  0.582890
 -3.274193	  0.578632	  3.274194	  0.592623
 -3.263441	  0.577720	  3.263441	  0.587148
 -3.252688	  0.584107	  3.252688	  0.586540
 -3.241935	  0.579240	  3.241935	  0.591406
 -3.231182	  0.580457	  3.231183	  0.588365
 -3.220430	  0.581065	  3.220430	  0.592623
 -3.209677	  0.576807	  3.209677	  0.594752
 -3.198924	  0.583803	  3.198925	  0.594144
 -3.188171	  0.577720	  3.188172	  0.596577
 -3.177419	  0.582890	  3.177419	  0.596273
 -3.166666	  0.578328	  3.166667	  0.603268
 -3.155913	  0.578328	  3.155914	  0.600835
 -3.145161	  0.578936	  3.145161	  0.600531
 -3.134408	  0.578632	  3.134408	  0.603572
 -3.123656	  0.584715	  3.123656	  0.607831
 -3.112903	  0.584107	  3.112903	  0.613305
 -3.102150	  0.576199	  3.102150	  0.604789
 -3.091397	  0.581978	  3.091398	  0.606614
 -3.080645	  0.580761	  3.080645	  0.611480
 -3.069892	  0.581065	  3.069892	  0.610264
 -3.059139	  0.580153	  3.059140	  0.611480
 -3.048386	  0.579849	  3.048387	  0.615130
 -3.037634	  0.579544	  3.037634	  0.618172
 -3.026881	  0.582586	  3.026882	  0.617868
 -3.016129	  0.580761	  3.016129	  0.620301
 -3.005376	  0.581065	  3.005376	  0.616043
 -2.994623	  0.576807	  2.994624	  0.618780
 -2.983871	  0.576807	  2.983871	  0.622126
 -2.973118	  0.571028	  2.973118	  0.617259
 -2.962365	  0.573766	  2.962365	  0.619084
 -2.951612	  0.574374	  2.951613	  0.624255
 -2.940860	  0.572853	  2.940860	  0.618172
 -2.930107	  0.570724	  2.930108	  0.623646
 -2.919354	  0.575286	  2.919355	  0.619693
 -2.908602	  0.576199	  2.908602	  0.621517
 -2.897849	  0.573766	  2.897849	  0.618476
 -2.887096	  0.571636	  2.887097	  0.619997
 -2.876343	  0.570724	  2.876344	  0.618476
 -2.865591	  0.570116	  2.865591	  0.621822
 -2.854838	  0.570420	  2.854839	  0.623646
 -2.844086	  0.564033	  2.844086	  0.619997
 -2.833333	  0.562816	  2.833333	  0.622430
 -2.822580	  0.562208	  2.822581	  0.622126
 -2.811828	  0.565249	  2.811828	  0.626080
 -2.801075	  0.564641	  2.801076	  0.624255
 -2.790322	  0.560687	  2.790323	  0.622734
 -2.779570	  0.561295	  2.779570	  0.623038
 -2.768817	  0.557950	  2.768817	  0.620301
 -2.758064	  0.557341	  2.758065	  0.621822
 -2.747311	  0.554908	  2.747312	  0.620605
 -2.736559	  0.550954	  2.736559	  0.616651
 -2.725806	  0.553692	  2.725806	  0.622430
 -2.715053	  0.552475	  2.715054	  0.613305
 -2.704300	  0.552779	  2.704301	  0.617563
 -2.693548	  0.547000	  2.693548	  0.616043
 -2.682795	  0.544567	  2.682796	  0.614522
 -2.672042	  0.546392	  2.672043	  0.614218
 -2.661290	  0.541221	  2.661291	  0.609351
 -2.650537	  0.543350	  2.650538	  0.610264
 -2.639785	  0.542742	  2.639785	  0.606918
 -2.629032	  0.541525	  2.629032	  0.606614
 -2.618279	  0.539092	  2.618280	  0.610264
 -2.607526	  0.537876	  2.607527	  0.608439
 -2.596774	  0.534834	  2.596774	  0.609351
 -2.586021	  0.522668	  2.586021	  0.606006
 -2.575268	  0.528751	  2.575269	  0.600227
 -2.564516	  0.527230	  2.564516	  0.601443
 -2.553763	  0.525710	  2.553764	  0.604181
 -2.543010	  0.524493	  2.543011	  0.601748
 -2.532258	  0.519322	  2.532258	  0.596577
 -2.521505	  0.521451	  2.521506	  0.592927
 -2.510752	  0.514456	  2.510753	  0.592927
 -2.500000	  0.517193	  2.500000	  0.587148
 -2.489247	  0.512935	  2.489248	  0.588973
 -2.478494	  0.510502	  2.478495	  0.593840
 -2.467741	  0.512023	  2.467742	  0.591711
 -2.456989	  0.506244	  2.456989	  0.584715
 -2.446236	  0.505635	  2.446237	  0.585627
 -2.435483	  0.502898	  2.435484	  0.584107
 -2.424731	  0.504723	  2.424731	  0.579849
 -2.413978	  0.495903	  2.413979	  0.580457
 -2.403225	  0.493469	  2.403226	  0.580761
 -2.392473	  0.490428	  2.392473	  0.576199
 -2.381720	  0.488907	  2.381721	  0.573461
 -2.370967	  0.485561	  2.370968	  0.577720
 -2.360215	  0.485257	  2.360215	  0.568595
 -2.349462	  0.487690	  2.349463	  0.570724
 -2.338709	  0.484345	  2.338710	  0.569812
 -2.327957	  0.477958	  2.327957	  0.567987
 -2.317204	  0.482520	  2.317204	  0.567987
 -2.306451	  0.477653	  2.306452	  0.568291
 -2.295698	  0.480695	  2.295699	  0.564033
 -2.284946	  0.474004	  2.284946	  0.563120
 -2.274193	  0.469441	  2.274194	  0.559470
 -2.263440	  0.468833	  2.263441	  0.560079
 -2.252688	  0.466400	  2.252688	  0.559470
 -2.241935	  0.461838	  2.241936	  0.553692
 -2.231182	  0.464575	  2.231183	  0.555516
 -2.220430	  0.464271	  2.220430	  0.548825
 -2.209677	  0.460621	  2.209677	  0.550954
 -2.198924	  0.456059	  2.198925	  0.556125
 -2.188172	  0.449976	  2.188172	  0.551867
 -2.177419	  0.450584	  2.177420	  0.553692
 -2.166666	  0.445413	  2.166667	  0.548521
 -2.155913	  0.449671	  2.155914	  0.551258
 -2.145161	  0.448151	  2.145161	  0.548825
 -2.134408	  0.442676	  2.134409	  0.550346
 -2.123655	  0.443588	  2.123656	  0.547913
 -2.112903	  0.434768	  2.112903	  0.547608
 -2.102150	  0.438418	  2.102151	  0.546392
 -2.091397	  0.436897	  2.091398	  0.545175
 -2.080645	  0.438722	  2.080645	  0.545784
 -2.069892	  0.429293	  2.069893	  0.541221
 -2.059139	  0.430206	  2.059140	  0.541525
 -2.048387	  0.432943	  2.048387	  0.542438
 -2.037634	  0.435072	  2.037635	  0.540005
 -2.026881	  0.425948	  2.026882	  0.539092
 -2.016129	  0.428381	  2.016129	  0.536659
 -2.005376	  0.421081	  2.005377	  0.540917
 -1.994623	  0.420473	  1.994624	  0.540917
 -1.983870	  0.419865	  1.983871	  0.541830
 -1.973118	  0.415606	  1.973118	  0.545175
 -1.962365	  0.418648	  1.962366	  0.540917
 -1.951612	  0.418040	  1.951613	  0.540917
 -1.940860	  0.419865	  1.940860	  0.542742
 -1.930107	  0.419256	  1.930108	  0.536355
 -1.919354	  0.416215	  1.919355	  0.539701
 -1.908602	  0.409828	  1.908602	  0.540005
 -1.897849	  0.414390	  1.897850	  0.541830
 -1.887096	  0.413173	  1.887097	  0.541830
 -1.876344	  0.413173	  1.876344	  0.540005
 -1.865591	  0.408611	  1.865592	  0.539701
 -1.854838	  0.408307	  1.854839	  0.541221
 -1.844086	  0.404353	  1.844086	  0.545784
 -1.833333	  0.403440	  1.833333	  0.545175
 -1.822580	  0.406178	  1.822581	  0.542438
 -1.811827	  0.410436	  1.811828	  0.545175
 -1.801075	  0.407698	  1.801075	  0.549433
 -1.790322	  0.404961	  1.790323	  0.545175
 -1.779570	  0.403136	  1.779570	  0.546392
 -1.768817	  0.404049	  1.768817	  0.543959
 -1.758064	  0.402528	  1.758065	  0.546696
 -1.747311	  0.403440	  1.747312	  0.551867
 -1.736559	  0.408611	  1.736559	  0.550954
 -1.725806	  0.403136	  1.725807	  0.550650
 -1.715053	  0.404049	  1.715054	  0.553387
