[Point Spectroscopy Data]
Approach Rate=1.0000 µm/sec
Retreat Rate=1.0000 µm/sec
Z Start=-5.5000 µm
Z End=5.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
&Z Piezo Linerizer On=yes
Trigger on:Deflection Signal   >==0.128600 µm

[Series layout]
Points Number=508
Series Number=1
Trace Z Position, µm	Deflection Signal, µN	Retrace Z Position, µm	Deflection Signal, µN

[Data]
 -5.500000	  0.004183	 -0.048377	  0.007236
 -5.489238	  0.004170	 -0.059140	  0.007241
 -5.478486	  0.004161	 -0.069892	  0.007237
 -5.467733	  0.004190	 -0.080645	  0.007223
 -5.456981	  0.004168	 -0.091398	  0.007213
 -5.446227	  0.004157	 -0.102150	  0.007196
 -5.435474	  0.004156	 -0.112903	  0.007177
 -5.424722	  0.004148	 -0.123656	  0.007154
 -5.413969	  0.004158	 -0.134409	  0.007136
 -5.403216	  0.004142	 -0.145161	  0.007107
 -5.392464	  0.004141	 -0.155914	  0.007095
 -5.381711	  0.004121	 -0.166667	  0.007069
 -5.370958	  0.004112	 -0.177419	  0.007040
 -5.360206	  0.004119	 -0.188172	  0.007005
 -5.349452	  0.004125	 -0.198925	  0.006987
 -5.338700	  0.004107	 -0.209677	  0.006960
 -5.327948	  0.004094	 -0.220430	  0.006920
 -5.317195	  0.004096	 -0.231183	  0.006919
 -5.306442	  0.004087	 -0.241935	  0.006874
 -5.295689	  0.004071	 -0.252688	  0.006835
 -5.284937	  0.004072	 -0.263441	  0.006814
 -5.274184	  0.004067	 -0.274194	  0.006796
 -5.263432	  0.004062	 -0.284946	  0.006754
 -5.252678	  0.004053	 -0.295699	  0.006729
 -5.241926	  0.004027	 -0.306452	  0.006719
 -5.231174	  0.004031	 -0.317204	  0.006686
 -5.220421	  0.004027	 -0.327957	  0.006668
 -5.209668	  0.004025	 -0.338710	  0.006629
 -5.198915	  0.004020	 -0.349462	  0.006605
 -5.188162	  0.004029	 -0.360215	  0.006562
 -5.177410	  0.003991	 -0.370968	  0.006553
 -5.166657	  0.003993	 -0.381720	  0.006506
 -5.155904	  0.004004	 -0.392473	  0.006477
 -5.145152	  0.003976	 -0.403226	  0.006456
 -5.134399	  0.003975	 -0.413978	  0.006441
 -5.123647	  0.003974	 -0.424731	  0.006397
 -5.112894	  0.003968	 -0.435484	  0.006365
 -5.102141	  0.003958	 -0.446237	  0.006338
 -5.091388	  0.003947	 -0.456989	  0.006300
 -5.080636	  0.003916	 -0.467742	  0.006273
 -5.069883	  0.003920	 -0.478495	  0.006242
 -5.059131	  0.003907	 -0.489247	  0.006225
 -5.048378	  0.003900	 -0.500000	  0.006178
 -5.037625	  0.003891	 -0.510753	  0.006147
 -5.026873	  0.003895	 -0.521505	  0.006129
 -5.016119	  0.003877	 -0.532258	  0.006092
 -5.005367	  0.003850	 -0.543011	  0.006067
 -4.994614	  0.003872	 -0.553763	  0.006042
 -4.983861	  0.003860	 -0.564516	  0.006012
 -4.973109	  0.003855	 -0.575269	  0.005975
 -4.962356	  0.003851	 -0.586021	  0.005942
 -4.951603	  0.003843	 -0.596774	  0.005913
 -4.940851	  0.003824	 -0.607527	  0.005866
 -4.930098	  0.003821	 -0.618280	  0.005844
 -4.919346	  0.003803	 -0.629032	  0.005820
 -4.908593	  0.003800	 -0.639785	  0.005791
 -4.897840	  0.003799	 -0.650538	  0.005756
 -4.887087	  0.003780	 -0.661290	  0.005724
 -4.876334	  0.003782	 -0.672043	  0.005697
 -4.865582	  0.003770	 -0.682796	  0.005660
 -4.854829	  0.003755	 -0.693548	  0.005617
 -4.844077	  0.003759	 -0.704301	  0.005602
 -4.833324	  0.003724	 -0.715054	  0.005573
 -4.822571	  0.003740	 -0.725806	  0.005533
 -4.811818	  0.003716	 -0.736559	  0.005501
 -4.801066	  0.003700	 -0.747312	  0.005467
 -4.790313	  0.003696	 -0.758065	  0.005437
 -4.779561	  0.003694	 -0.768817	  0.005418
 -4.768808	  0.003690	 -0.779570	  0.005374
 -4.758055	  0.003675	 -0.790323	  0.005334
 -4.747303	  0.003689	 -0.801075	  0.005320
 -4.736549	  0.003669	 -0.811828	  0.005273
 -4.725797	  0.003632	 -0.822581	  0.005239
 -4.715044	  0.003646	 -0.833333	  0.005216
 -4.704291	  0.003618	 -0.844086	  0.005166
 -4.693539	  0.003615	 -0.854839	  0.005137
 -4.682786	  0.003592	 -0.865591	  0.005111
 -4.672033	  0.003613	 -0.876344	  0.005077
 -4.661281	  0.003582	 -0.887097	  0.005052
 -4.650528	  0.003564	 -0.897849	  0.005017
 -4.639776	  0.003566	 -0.908602	  0.004962
 -4.629023	  0.003568	 -0.919355	  0.004937
 -4.618270	  0.003556	 -0.930108	  0.004922
 -4.607518	  0.003554	 -0.940860	  0.004861
 -4.596765	  0.003537	 -0.951613	  0.004842
 -4.586012	  0.003527	 -0.962366	  0.004808
 -4.575259	  0.003523	 -0.973118	  0.004776
 -4.564507	  0.003505	 -0.983871	  0.004747
 -4.553754	  0.003491	 -0.994624	  0.004720
 -4.543002	  0.003476	 -1.005376	  0.004674
 -4.532248	  0.003488	 -1.016129	  0.004636
 -4.521496	  0.003490	 -1.026882	  0.004605
 -4.510743	  0.003442	 -1.037634	  0.004575
 -4.499991	  0.003457	 -1.048387	  0.004543
 -4.489238	  0.003451	 -1.059140	  0.004495
 -4.478485	  0.003432	 -1.069893	  0.004469
 -4.467732	  0.003420	 -1.080645	  0.004440
 -4.456980	  0.003418	 -1.091398	  0.004397
 -4.446227	  0.003398	 -1.102151	  0.004370
 -4.435474	  0.003398	 -1.112903	  0.004334
 -4.424722	  0.003391	 -1.123656	  0.004307
 -4.413969	  0.003378	 -1.134409	  0.004274
 -4.403216	  0.003373	 -1.145162	  0.004236
 -4.392464	  0.003362	 -1.155914	  0.004186
 -4.381711	  0.003378	 -1.166667	  0.004163
 -4.370958	  0.003351	 -1.177419	  0.004126
 -4.360206	  0.003343	 -1.188172	  0.004090
 -4.349453	  0.003333	 -1.198925	  0.004063
 -4.338700	  0.003337	 -1.209677	  0.004027
 -4.327948	  0.003329	 -1.220430	  0.004004
 -4.317194	  0.003337	 -1.231183	  0.003951
 -4.306442	  0.003303	 -1.241935	  0.003925
 -4.295690	  0.003308	 -1.252688	  0.003897
 -4.284937	  0.003295	 -1.263441	  0.003858
 -4.274184	  0.003273	 -1.274194	  0.003830
 -4.263432	  0.003272	 -1.284946	  0.003792
 -4.252678	  0.003268	 -1.295699	  0.003759
 -4.241926	  0.003271	 -1.306452	  0.003729
 -4.231174	  0.003264	 -1.317204	  0.003686
 -4.220421	  0.003241	 -1.327957	  0.003659
 -4.209668	  0.003263	 -1.338710	  0.003623
 -4.198915	  0.003242	 -1.349462	  0.003581
 -4.188163	  0.003232	 -1.360215	  0.003537
 -4.177410	  0.003252	 -1.370968	  0.003514
 -4.166657	  0.003235	 -1.381720	  0.003474
 -4.155904	  0.003222	 -1.392473	  0.003433
 -4.145152	  0.003225	 -1.403226	  0.003405
 -4.134399	  0.003194	 -1.413978	  0.003367
 -4.123647	  0.003198	 -1.424731	  0.003329
 -4.112894	  0.003216	 -1.435484	  0.003291
 -4.102141	  0.003221	 -1.446237	  0.003260
 -4.091388	  0.003191	 -1.456989	  0.003234
 -4.080636	  0.003198	 -1.467742	  0.003196
 -4.069883	  0.003192	 -1.478495	  0.003172
 -4.059130	  0.003188	 -1.489247	  0.003130
 -4.048378	  0.003188	 -1.500000	  0.003092
 -4.037625	  0.003190	 -1.510753	  0.003060
 -4.026872	  0.003182	 -1.521505	  0.003014
 -4.016119	  0.003177	 -1.532258	  0.002977
 -4.005367	  0.003163	 -1.543011	  0.002942
 -3.994614	  0.003173	 -1.553763	  0.002903
 -3.983862	  0.003187	 -1.564516	  0.002874
 -3.973109	  0.003178	 -1.575269	  0.002827
 -3.962356	  0.003160	 -1.586022	  0.002795
 -3.951603	  0.003178	 -1.596774	  0.002761
 -3.940850	  0.003171	 -1.607527	  0.002735
 -3.930098	  0.003168	 -1.618280	  0.002682
 -3.919345	  0.003141	 -1.629032	  0.002655
 -3.908593	  0.003175	 -1.639785	  0.002632
 -3.897840	  0.003147	 -1.650538	  0.002586
 -3.887087	  0.003176	 -1.661290	  0.002544
 -3.876335	  0.003163	 -1.672043	  0.002508
 -3.865582	  0.003175	 -1.682796	  0.002476
 -3.854829	  0.003169	 -1.693549	  0.002432
 -3.844077	  0.003147	 -1.704301	  0.002407
 -3.833324	  0.003175	 -1.715054	  0.002376
 -3.822571	  0.003158	 -1.725807	  0.002331
 -3.811818	  0.003177	 -1.736559	  0.002283
 -3.801065	  0.003156	 -1.747312	  0.002241
 -3.790313	  0.003180	 -1.758065	  0.002210
 -3.779560	  0.003172	 -1.768817	  0.002168
 -3.768808	  0.003167	 -1.779570	  0.002133
 -3.758055	  0.003194	 -1.790323	  0.002102
 -3.747302	  0.003167	 -1.801075	  0.002060
 -3.736550	  0.003194	 -1.811828	  0.002014
 -3.725797	  0.003189	 -1.822581	  0.001976
 -3.715044	  0.003195	 -1.833333	  0.001941
 -3.704292	  0.003193	 -1.844086	  0.001910
 -3.693539	  0.003204	 -1.854839	  0.001881
 -3.682786	  0.003207	 -1.865592	  0.001822
 -3.672034	  0.003216	 -1.876344	  0.001797
 -3.661280	  0.003193	 -1.887097	  0.001762
 -3.650528	  0.003190	 -1.897850	  0.001726
 -3.639775	  0.003195	 -1.908602	  0.001687
 -3.629023	  0.003211	 -1.919355	  0.001678
 -3.618270	  0.003214	 -1.930108	  0.002838
 -3.607517	  0.003211	 -1.940860	  0.002835
 -3.596765	  0.003221	 -1.951613	  0.002828
 -3.586012	  0.003229	 -1.962366	  0.002853
 -3.575259	  0.003218	 -1.973118	  0.002859
 -3.564507	  0.003236	 -1.983871	  0.002862
 -3.553754	  0.003236	 -1.994624	  0.002850
 -3.543001	  0.003234	 -2.005377	  0.002860
 -3.532248	  0.003237	 -2.016129	  0.002871
 -3.521496	  0.003244	 -2.026882	  0.002866
 -3.510743	  0.003230	 -2.037635	  0.002885
 -3.499990	  0.003258	 -2.048387	  0.002889
 -3.489238	  0.003263	 -2.059140	  0.002885
 -3.478485	  0.003246	 -2.069893	  0.002904
 -3.467732	  0.003248	 -2.080645	  0.002911
 -3.456980	  0.003251	 -2.091398	  0.002907
 -3.446227	  0.003261	 -2.102150	  0.002922
 -3.435474	  0.003269	 -2.112903	  0.002924
 -3.424721	  0.003283	 -2.123656	  0.002926
 -3.413969	  0.003267	 -2.134408	  0.002912
 -3.403216	  0.003267	 -2.145161	  0.002929
 -3.392463	  0.003280	 -2.155914	  0.002939
 -3.381711	  0.003273	 -2.166667	  0.002943
 -3.370958	  0.003264	 -2.177419	  0.002927
 -3.360205	  0.003274	 -2.188172	  0.002953
 -3.349453	  0.003262	 -2.198925	  0.002954
 -3.338700	  0.003288	 -2.209677	  0.002943
 -3.327947	  0.003278	 -2.220430	  0.002952
 -3.317194	  0.003287	 -2.231183	  0.002973
 -3.306442	  0.003274	 -2.241935	  0.002962
 -3.295689	  0.003271	 -2.252688	  0.002961
 -3.284936	  0.003273	 -2.263441	  0.002966
 -3.274184	  0.003263	 -2.274194	  0.002962
 -3.263431	  0.003265	 -2.284946	  0.002959
 -3.252678	  0.003274	 -2.295699	  0.002977
 -3.241926	  0.003267	 -2.306452	  0.002980
 -3.231173	  0.003260	 -2.317204	  0.002980
 -3.220420	  0.003272	 -2.327957	  0.002952
 -3.209668	  0.003255	 -2.338710	  0.002971
 -3.198915	  0.003253	 -2.349463	  0.002976
 -3.188162	  0.003267	 -2.360215	  0.002980
 -3.177409	  0.003247	 -2.370968	  0.002981
 -3.166657	  0.003257	 -2.381721	  0.002989
 -3.155904	  0.003229	 -2.392473	  0.002966
 -3.145151	  0.003245	 -2.403226	  0.002973
 -3.134399	  0.003244	 -2.413979	  0.002972
 -3.123646	  0.003232	 -2.424731	  0.002980
 -3.112893	  0.003221	 -2.435484	  0.002979
 -3.102141	  0.003205	 -2.446237	  0.002991
 -3.091388	  0.003221	 -2.456990	  0.002974
 -3.080636	  0.003214	 -2.467742	  0.002971
 -3.069883	  0.003211	 -2.478495	  0.002977
 -3.059130	  0.003192	 -2.489248	  0.002983
 -3.048377	  0.003180	 -2.500000	  0.003002
 -3.037625	  0.003178	 -2.510753	  0.002991
 -3.026872	  0.003175	 -2.521505	  0.002989
 -3.016119	  0.003170	 -2.532258	  0.002968
 -3.005366	  0.003161	 -2.543011	  0.002975
 -2.994614	  0.003155	 -2.553764	  0.002980
 -2.983861	  0.003146	 -2.564516	  0.002986
 -2.973109	  0.003122	 -2.575269	  0.002968
 -2.962356	  0.003119	 -2.586022	  0.002969
 -2.951603	  0.003118	 -2.596774	  0.002973
 -2.940850	  0.003108	 -2.607527	  0.002962
 -2.930098	  0.003115	 -2.618280	  0.002966
 -2.919345	  0.003096	 -2.629032	  0.002984
 -2.908592	  0.003083	 -2.639785	  0.002977
 -2.897840	  0.003055	 -2.650537	  0.002975
 -2.887087	  0.003078	 -2.661290	  0.002957
 -2.876334	  0.003049	 -2.672043	  0.002948
 -2.865581	  0.003057	 -2.682796	  0.002947
 -2.854829	  0.003027	 -2.693548	  0.002971
 -2.844076	  0.003026	 -2.704301	  0.002962
 -2.833323	  0.003032	 -2.715054	  0.002948
 -2.822571	  0.003006	 -2.725806	  0.002943
 -2.811818	  0.002974	 -2.736559	  0.002953
 -2.801066	  0.002985	 -2.747312	  0.002948
 -2.790313	  0.002961	 -2.758065	  0.002945
 -2.779560	  0.002960	 -2.768817	  0.002962
 -2.768807	  0.002962	 -2.779570	  0.002956
 -2.758055	  0.002937	 -2.790323	  0.002957
 -2.747302	  0.002941	 -2.801075	  0.002927
 -2.736549	  0.002918	 -2.811828	  0.002920
 -2.725797	  0.002915	 -2.822581	  0.002939
 -2.715044	  0.002889	 -2.833334	  0.002933
 -2.704291	  0.002889	 -2.844086	  0.002934
 -2.693538	  0.002883	 -2.854839	  0.002950
 -2.682786	  0.002882	 -2.865592	  0.002917
 -2.672033	  0.002846	 -2.876344	  0.002930
 -2.661280	  0.002861	 -2.887097	  0.002936
 -2.650528	  0.002857	 -2.897850	  0.002913
 -2.639775	  0.002844	 -2.908602	  0.002892
 -2.629022	  0.002810	 -2.919355	  0.002928
 -2.618270	  0.002837	 -2.930108	  0.002935
 -2.607517	  0.002809	 -2.940860	  0.002894
 -2.596765	  0.002793	 -2.951613	  0.002929
 -2.586011	  0.002796	 -2.962366	  0.002926
 -2.575259	  0.002775	 -2.973119	  0.002905
 -2.564506	  0.002777	 -2.983871	  0.002900
 -2.553754	  0.002751	 -2.994624	  0.002928
 -2.543001	  0.002738	 -3.005377	  0.002910
 -2.532248	  0.002735	 -3.016129	  0.002913
 -2.521496	  0.002739	 -3.026882	  0.002897
 -2.510743	  0.002736	 -3.037635	  0.002918
 -2.499990	  0.002708	 -3.048387	  0.002900
 -2.489237	  0.002690	 -3.059140	  0.002894
 -2.478485	  0.002700	 -3.069892	  0.002917
 -2.467732	  0.002681	 -3.080645	  0.002913
 -2.456979	  0.002655	 -3.091398	  0.002888
 -2.446227	  0.002662	 -3.102151	  0.002923
 -2.435474	  0.002662	 -3.112903	  0.002907
 -2.424721	  0.002661	 -3.123656	  0.002917
 -2.413969	  0.002653	 -3.134409	  0.002917
 -2.403216	  0.002649	 -3.145162	  0.002888
 -2.392463	  0.002629	 -3.155914	  0.002910
 -2.381711	  0.002611	 -3.166667	  0.002888
 -2.370958	  0.002596	 -3.177419	  0.002911
 -2.360205	  0.002600	 -3.188172	  0.002918
 -2.349452	  0.002596	 -3.198925	  0.002917
 -2.338700	  0.002591	 -3.209677	  0.002922
 -2.327947	  0.002582	 -3.220430	  0.002913
 -2.317194	  0.002577	 -3.231183	  0.002904
 -2.306442	  0.002570	 -3.241936	  0.002919
 -2.295689	  0.002567	 -3.252688	  0.002917
 -2.284936	  0.002559	 -3.263441	  0.002914
 -2.274184	  0.002552	 -3.274194	  0.002905
 -2.263431	  0.002540	 -3.284947	  0.002933
 -2.252678	  0.002536	 -3.295699	  0.002924
 -2.241926	  0.002533	 -3.306452	  0.002928
 -2.231173	  0.002527	 -3.317204	  0.002903
 -2.220420	  0.002514	 -3.327957	  0.002926
 -2.209667	  0.002504	 -3.338710	  0.002929
 -2.198915	  0.002511	 -3.349462	  0.002931
 -2.188162	  0.002513	 -3.360215	  0.002940
 -2.177409	  0.002524	 -3.370968	  0.002961
 -2.166657	  0.002498	 -3.381721	  0.002951
 -2.155904	  0.002514	 -3.392473	  0.002933
 -2.145151	  0.002482	 -3.403226	  0.002959
 -2.134399	  0.002501	 -3.413979	  0.002951
 -2.123646	  0.002489	 -3.424731	  0.002969
 -2.112893	  0.002492	 -3.435484	  0.002964
 -2.102141	  0.002502	 -3.446237	  0.002956
 -2.091388	  0.002499	 -3.456990	  0.002957
 -2.080635	  0.002474	 -3.467742	  0.002974
 -2.069882	  0.002474	 -3.478495	  0.002973
 -2.059130	  0.002492	 -3.489247	  0.002964
 -2.048377	  0.002479	 -3.500000	  0.002966
 -2.037624	  0.002469	 -3.510753	  0.002996
 -2.026872	  0.002465	 -3.521506	  0.003006
 -2.016119	  0.002473	 -3.532258	  0.002995
 -2.005367	  0.002465	 -3.543011	  0.003002
 -1.994614	  0.002476	 -3.553764	  0.002992
 -1.983861	  0.002479	 -3.564517	  0.003010
 -1.973108	  0.002462	 -3.575269	  0.003008
 -1.962356	  0.002459	 -3.586022	  0.002996
 -1.951603	  0.002462	 -3.596775	  0.003032
 -1.940850	  0.002467	 -3.607527	  0.003019
 -1.930098	  0.002473	 -3.618280	  0.003040
 -1.919345	  0.002471	 -3.629033	  0.003037
 -1.908592	  0.002466	 -3.639786	  0.003048
 -1.897839	  0.002471	 -3.650538	  0.003066
 -1.887087	  0.002466	 -3.661291	  0.003055
 -1.876334	  0.002497	 -3.672043	  0.003077
 -1.865582	  0.002489	 -3.682796	  0.003063
